epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.501,1.40201,3.01571,1.30029,0.00314,0.94253,0.19597,0.10054,1.24431,3.73927,1.15674,0.00042,0.00042,0.00042
2,314.551,1.44054,2.02584,1.23216,0.46176,0.54023,0.48171,0.22222,1.5146,3.60033,1.25769,0.000842972,0.000842972,0.000842972
3,480.398,1.483,1.86945,1.25632,0.32722,0.08396,0.29218,0.13844,1.39701,3.25059,1.22898,0.00124852,0.00124852,0.00124852
4,653.607,1.42443,1.73293,1.23598,0.14692,0.11494,0.10419,0.04304,1.63874,5.90834,1.4444,0.00163664,0.00163664,0.00163664
5,827.663,1.52674,1.65462,1.27528,0.25959,0.36782,0.19016,0.08828,1.63667,2.78168,1.31705,0.0018416,0.0018416,0.0018416
6,1004.11,1.4897,1.54424,1.28924,0.51477,0.62069,0.53562,0.25178,1.72057,2.21685,1.43977,0.001802,0.001802,0.001802
7,1176.04,1.49243,1.41864,1.24629,0.82535,0.67816,0.72008,0.35759,1.69324,1.86783,1.40615,0.0017624,0.0017624,0.0017624
